ticker,yearreport,lengthreport,net_profit/loss_before_tax,depreciation_and_amortisation,provision_for_credit_losses,unrealized_foreign_exchange_gain/loss,profit/loss_from_investing_activities,interest_expense,interest_income_and_dividends,operating_profit_before_changes_in_working_capital,increase/decrease_in_receivables,increase/decrease_in_inventories,increase/decrease_in_payables,increase/decrease_in_prepaid_expenses,interest_paid,business_income_tax_paid,other_receipts_from_operating_activities,other_payments_on_operating_activities,net_cash_inflows/outflows_from_operating_activities,purchase_of_fixed_assets,proceeds_from_disposal_of_fixed_assets,"loans_granted,_purchases_of_debt_instruments_(bn._vnd)","collection_of_loans,_proceeds_from_sales_of_debts_instruments_(bn._vnd)",investment_in_other_entities,proceeds_from_divestment_in_other_entities,gain_on_dividend,net_cash_flows_from_investing_activities,increase_in_charter_captial,payments_for_share_repurchases,proceeds_from_borrowings,repayment_of_borrowings,finance_lease_principal_payments,dividends_paid,cash_flows_from_financial_activities,net_increase/decrease_in_cash_and_cash_equivalents,cash_and_cash_equivalents,foreign_exchange_differences_adjustment,cash_and_cash_equivalents_at_the_end_of_period
HPG,2015,2,1407764434588,301511273280,21693818232,11695783123,-7443799102,51860489071,0,1817454726686,636430799597,359393794669,176791885168,3316997366,-99638681810,-50071357591,-1300573360,-13485490377,2828892100348,-1574134153640,1974614483,-543810404978,343469232554,0,0,23604219140,-1748896492441,12000000,0,5746131417468,-5767420369497,0,-489712206457,-510989158486,569006449421,1453491349657,7615362,2022505414440
HPG,2015,1,738485384068,285202533263,-10431256032,46245799027,2596359267,57781070334,0,1150252617421,-858014042750,878972421686,-324727321765,21638409835,-46855043285,-234407141502,1300573360,-88148362837,500012110163,-435032676387,2389799999,-359602870845,0,0,0,22763213500,-769482533733,46500000,0,6536020489553,-6789881879469,0,-49508778000,-303323667916,-572794091486,2026280467705,4973438,1453491349657
HPG,2014,4,587006103005,285065957456,208258726706,48496459298,-9419354243,70636426629,0,1276390288384,-460041872172,-359270478408,609717973758,143089492298,-60953377294,-87166832462,13457214364,-38373313773,1036849094695,-482639899148,2876353229,-1184067715208,927555196738,-55215592861,1500000000,24935855886,-765055801364,0,0,6544713791719,-6466508187250,0,132092655,78337697124,350130990455,1651561080358,88396892,2001780467705
HPG,2014,3,1024678282379,279038374027,370294557,-29579502673,-7557222858,78782680101,0,1373496845379,-409180918965,-21678560089,-849882929607,-270970657362,-67898612719,-66573934195,11139900902,-17944272238,-319493138894,-186943594565,8923466376,-23598274631,126894428753,1740000000,0,26255070026,-46728904041,475000000,0,5822094586932,-5233779127082,0,-82681908,588707777942,222485735007,1429108292747,-32947396,1651561080358
HPG,2014,2,1086586698582,274592206614,1569057588,60750200005,-26926176023,81355980496,0,1536332623235,418561268641,-411130212702,-173090101941,13704503419,-78617434926,-128176453387,14411246662,-8547675672,1183447763329,-185710869579,9349892737,40415328633,0,-56955592861,0,30000166409,-162901074661,0,0,4789825856092,-5945027273481,0,-631333792999,-1786535210388,-765988521720,2195020257953,76556514,1429108292747
HPG,2014,1,1070843098197,268657879041,-744004462,3080402463,-33506296635,120827103540,0,1501530397596,124260473167,1258281581498,-1749890855513,11905692786,-118239482053,-297043298315,536403969,-55776197031,675564716104,-238431892230,1965044115,-16817054002,0,0,0,26148641137,-227135260980,0,0,4715500046151,-5044125506655,0,-50090936327,-378716396831,69713058293,2125322390697,-15191037,2195020257953
HPG,2013,4,624906992751,251887298783,-21311495954,-19467570040,-27137784105,124373034373,0,1113248112183,-143583110760,39205087020,-74693002938,14579645079,-141362484134,-52517684746,3908665563,-23000626836,735784600431,-403983710108,1076116746,-158262157802,26319051657,-395947200000,133334,33965105608,-896832660565,0,0,5166410402121,-4751486142320,0,-440163400,414484096401,253436036267,2014263312314,-76957885,2267622390696
HPG,2013,3,597978454091,164500424985,-76003820472,-67443974794,-27282824659,79447906827,0,671196165978,70702330394,-438976864516,597329721307,-50516645121,-12040740626,-6666946516,91489237,-18022825908,813095684229,-659432504998,1496464877,-36000000000,46980047200,-546074299,0,21759530296,-625742536924,600000000,0,4906915930348,-4047269743860,0,-418813813012,441432373476,628785520781,1385641109293,-163317760,2014263312314
HPG,2013,2,599329395099,153612281709,24541434887,88925011228,-16753148991,77682792362,-27281308193,900056458101,391392242164,-862146448487,897922226436,21681730049,-142382619339,-77379043550,18156769011,-7497932861,1139803381524,-1031909410784,3343397309,1322098857,50337901143,-5,-8803477837,8494315371,-977215175946,0,0,4902010810854,-4674063868578,0,-1423348191,226523594085,389111799663,996320633597,208676032,1385641109292
HPG,2013,1,572218567611,151633777795,5194528495,432985468,-132847850801,81392133173,27281308193,705305449934,-127469433349,161549921074,218534567660,11171586597,-102574263389,-64265003857,2165779847,-46044383352,758374221165,-980583115840,4624938046,-1322098857,3000000000,-7389599995,125070383355,34021143068,-822578350223,20000000,0,3987269523999,-4221219828219,0,-44238550,-233974542770,-298178671828,1294493700486,5604939,996320633597
